,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
25925,591126001314853341,Queens,Woodside,Entire home/apt,125.0,30,0
25926,921461246038580194,Queens,Elmhurst,Entire home/apt,336.0,30,0
25927,52882662,Manhattan,Inwood,Entire home/apt,400.0,30,1
25928,921356417447987638,Queens,Elmhurst,Entire home/apt,281.0,30,0
25929,622853930405575823,Manhattan,Upper West Side,Entire home/apt,389.0,31,0
25930,11190831,Brooklyn,Bedford-Stuyvesant,Entire home/apt,155.0,30,145
25931,668782753074319290,Brooklyn,Bedford-Stuyvesant,Entire home/apt,190.0,1,117
25932,1103027953456511332,Brooklyn,Williamsburg,Private room,66.0,30,0
25933,7673007,Brooklyn,Greenpoint,Entire home/apt,145.0,30,16
25934,990703873253686034,Manhattan,Upper East Side,Private room,110.0,30,0
25935,4472978,Manhattan,Chelsea,Entire home/apt,275.0,30,341
25936,46868917,Brooklyn,Williamsburg,Private room,48.0,30,0
25937,1158563900084850676,Manhattan,Upper East Side,Private room,151.0,30,0
25938,979007107482059702,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,0
25939,1010701992956234230,Manhattan,East Village,Entire home/apt,85.0,30,0
25940,695755456324715761,Brooklyn,Bushwick,Entire home/apt,186.0,3,54
25941,38379068,Manhattan,Harlem,Private room,99.0,30,143
25942,1043748319187784965,Manhattan,Upper West Side,Private room,562.0,1,0
25943,649930539132835017,Queens,Long Island City,Private room,179.0,1,113
25944,38997592,Brooklyn,South Slope,Entire home/apt,325.0,30,70
25945,53656900,Brooklyn,Williamsburg,Private room,41.0,90,0
25946,705092395335030529,Manhattan,Harlem,Private room,149.0,30,3
25947,34136999,Manhattan,Tribeca,Entire home/apt,433.0,31,1
25948,5772667,Manhattan,Harlem,Entire home/apt,150.0,30,16
25949,1172259302904879588,Manhattan,Hell's Kitchen,Entire home/apt,399.0,31,0
25950,979005462869962985,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,1
25951,18424928,Brooklyn,South Slope,Entire home/apt,162.0,30,13
25952,1182793483521637790,Brooklyn,Bedford-Stuyvesant,Private room,158.0,4,3
25953,12833187,Manhattan,Upper East Side,Entire home/apt,255.0,30,1
25954,743407453043625683,Queens,Long Island City,Entire home/apt,116.0,90,0
25955,924124016591986136,Queens,Long Island City,Entire home/apt,245.0,30,0
25956,14911767,Brooklyn,Park Slope,Entire home/apt,300.0,30,9
25957,54214666,Queens,Long Island City,Private room,135.0,120,6
25958,48016092,Brooklyn,Gowanus,Entire home/apt,150.0,30,1
25959,796990125497199971,Brooklyn,Bedford-Stuyvesant,Private room,48.0,30,2
25960,1224004262381852545,Manhattan,Midtown,Entire home/apt,652.0,1,0
25961,43388055,Brooklyn,Gowanus,Private room,52.0,30,0
25962,670291854273683571,Brooklyn,Bedford-Stuyvesant,Entire home/apt,203.0,1,107
25963,1193947075663108602,Brooklyn,Crown Heights,Private room,36.0,30,1
25964,1215930899551057941,Queens,Maspeth,Private room,144.0,31,0
25965,847113408334252715,Brooklyn,Bedford-Stuyvesant,Private room,47.0,30,0
25966,726469632450695613,Brooklyn,Clinton Hill,Entire home/apt,205.0,30,18
25967,14465415,Queens,Forest Hills,Entire home/apt,175.0,30,41
25968,39677451,Brooklyn,East Flatbush,Entire home/apt,100.0,30,91
25969,43391999,Queens,Elmhurst,Private room,38.0,30,1
25970,998902333701914397,Queens,Elmhurst,Private room,111.0,30,0
25971,710603603449455441,Manhattan,East Harlem,Private room,75.0,30,5
25972,893642577224806699,Brooklyn,Flatlands,Private room,180.0,30,12
25973,14029633,Brooklyn,Sheepshead Bay,Entire home/apt,66.0,30,189
25974,508631253232071761,Brooklyn,Bay Ridge,Entire home/apt,340.0,30,46
25975,14450268,Brooklyn,Clinton Hill,Private room,100.0,30,60
25976,1015757189408408744,Brooklyn,Bay Ridge,Private room,50.0,30,3
25977,1214352629712091097,Brooklyn,Fort Hamilton,Entire home/apt,250.0,30,0
25978,662322807381323149,Brooklyn,Sunset Park,Private room,80.0,30,27
25979,1162384514521657803,Brooklyn,Crown Heights,Private room,39.0,30,0
25980,39981492,Queens,Springfield Gardens,Private room,120.0,30,48
25981,973238404538275285,Manhattan,Washington Heights,Entire home/apt,80.0,30,1
25982,21477500,Brooklyn,East New York,Private room,99.0,30,18
25983,51715178,Queens,Fresh Meadows,Entire home/apt,68.0,30,25
25984,797125439668851209,Queens,Flushing,Private room,60.0,30,0
25985,571598171738337849,Brooklyn,Flatlands,Entire home/apt,200.0,30,22
25986,32552611,Manhattan,East Harlem,Private room,60.0,30,163
25987,1076090494277276878,Brooklyn,Crown Heights,Entire home/apt,139.0,30,1
25988,1021673646288051448,Queens,Flushing,Private room,57.0,30,0
25989,515036044381761823,Brooklyn,Bay Ridge,Private room,101.0,30,47
25990,1116894896977374505,Brooklyn,Windsor Terrace,Entire home/apt,371.0,1,29
25991,51714960,Queens,Fresh Meadows,Entire home/apt,98.0,30,38
25992,53418934,Bronx,Williamsbridge,Entire home/apt,117.0,30,52
25993,511554590284267375,Brooklyn,Bay Ridge,Private room,102.0,30,52
25994,810047099857743100,Queens,Jamaica,Entire home/apt,436.0,30,11
25995,1237026821447577620,Manhattan,East Harlem,Private room,44.0,30,0
25996,1228535553011702685,Staten Island,West Brighton,Private room,140.0,30,0
25997,1086373655299407944,Staten Island,Graniteville,Entire home/apt,115.0,2,11
25998,13264690,Manhattan,Harlem,Private room,65.0,30,77
25999,5846745,Brooklyn,Park Slope,Private room,135.0,2,331
26000,1140615348793654823,Queens,Jamaica,Entire home/apt,175.0,30,0
